,hashtag,frequency
12603,ᴠᴀᴄᴄɪɴᴇssᴀᴠᴇʟɪᴠᴇs,30
11103,vaccinationfor18plus,29
1481,bppoddarhospital,29
3371,digitaldivide,29
6756,mask,29
5766,jaipur,29
7446,nationalpanchayatirajday,29
3960,fake,29
9491,seruminstituteofindia,29
1830,chhattisgarh,29
8965,registernow,28
7899,omicronvariant,28
6773,masterstroke,28
3506,dogecoin,28
8255,pfizer,28
582,andhrapradesh,28
8691,punjab,28
2245,coronavirusvaccination,27
4574,goi,27
4847,haryana,27
759,arvindkejriwal,27
4650,govt,27
9342,saturdaymorning,27
891,ayushmanbharat,27
12373,वैक्सीन,26
5402,indianeedsvaccines,26
7190,motivationalquotes,26
7712,noisecanceling,26
2815,cowinotp,26
7311,mygov,25
10984,uttarakhand,25
4,100crore,25
7102,modisarkar,25
3358,digilocker,25
11460,video,25
7550,newindia,25
9731,socialmedia,25
10763,twitter,25
10552,tngovt,25
7043,modiabandonedindia,25
10930,update,25
10963,usa,25
5646,ipl2021,25
9556,sharewithcowin,25
8726,quarantine,25
8576,privacy,25
10471,thoughtoftheday,25
1727,centralgovt,25
11342,vaccineslot,24
4247,free,24
4771,hacking,24
2752,cowine7,24
2027,colose,24
2981,cskvssrh,24
8700,puri,24
2809,cowinnotifier,24
3234,delhifightscorona,24
1853,childrenvaccination,24
6878,memes,24
7065,modigovtsenahopayega,24
1458,boosterjab,24
11269,vaccinejumla,24
10766,twitterban,24
3505,doge,24
8957,registered,24
5330,indiacovid,24
10384,thankyoumodiji,24
5327,indiachoked,24
9680,slot,24
10738,tuesdaymotivations,23
4754,gurugram,23
5851,jharkhand,23
8721,quad,23
2664,covishiled,23
656,apollo,23
10856,unga,23
2257,coronawarriors,23
7710,noida,23
2634,covidwarriors,22
7913,onebilliondoses,22
8365,pm,22
11348,vaccinessavelives,22
11328,vaccinescam,22
7300,mybmc,22
8999,remdesivir,22
8779,rahulgandhi,22
7567,newsalert,22
6930,micmeriprerna,22
9932,staysafestayhealthy,22
7437,nationalhealthauthority,22
6580,madhyapradesh,21
7860,odishafightsyaas,21
6246,kushinagar,21
8441,politics,21
5483,indiavaccine,21
10320,telegram,21
432,aiims,21
3921,facebook,21
4089,fightagainestcorona,21
663,apollohospital,21
7381,namo,21
8654,publichealth,21
2965,cryptocurrency,21
7208,mpfightscorona,21
7976,opensource,21
2881,cowinwebsite,21
4093,fightagainstcoronavirus,21
2090,congratulationsindia,21
2162,coronafighter,21
2693,cowin_certificate,21
1861,china,21
1214,bhopal,21
7002,missionvijaypath,21
243,aarogya,21
7009,mkstalin,21
11784,wirelessheadphones,21
48,18plus,21
1443,booking,20
1398,bluetoothheadphones,20
10089,supremecourtofindia,20
7853,odishabytes,20
7854,odishabytesnews,20
2961,crypto,20
11294,vaccinepassports,20
11134,vaccinationregistration,20
223,aajtak,20
6474,lockdown2021,20
7140,mondaymotivation,20
5086,hospital,20
7191,motivationalthought,20
6322,latestnews,20
4290,fridaymorning,19
5350,indiafightscovid,19
12207,टीकाकरण,19
7625,newzeedigital,19
7095,modioxygendo,19
5186,icmr,19
5784,jammuandkashmir,19
66,1billionvaccination,19
8475,positivevibes,19
9515,sevasamarpan,19
10750,tv9news,19
6607,maharashtrafightscorona,19
210,aadhaarcard,19
903,baahubali2,19
5467,indiatogether,19
10223,tbg,18
10741,tuesdayvibe,18
7589,newsleaders,18
9165,rtpcr,18
5264,immunity,18
2300,covaccine,18
11,100crorevaccinations,18
7498,ndtv,18
3546,dose,18
7363,nagpur,18
6941,middaynews,18
3583,drharshvardhan,18
2980,cskvsrh,18
6609,maharashtragovernment,18
5783,jammu,18
16,100daysofcode,18
5394,indianeedoxygen,18
10944,uprahatayukt,18
6435,live,18
10178,tamillanguage,18
11839,worldrecord,18
7668,nirmalasitharaman,18
7562,news247live,18
5417,indianlivesmatter,18
10260,technews,18
1218,bhubaneswar,18
