,hashtag,frequency
10166,takevaccine,3
7875,official,3
3931,facialrecognition,3
12516,தருமபுரி,3
7529,nep2020,3
7530,nepal,3
7871,offers,3
7870,offer,3
3596,drmansukhmandaviya,3
153,45plus,3
10161,takethejab,3
3904,explainer,3
145,3idiots,3
10164,takeuchi,3
7559,news18debrief,3
76,1st_dose,3
3895,exitpoll,3
12543,மோடியாவது_மயிராவது,3
10331,tenet,3
7592,newsmo,3
7594,newsmove,3
3638,dv2021,3
3645,e,3
7610,newsupdates,3
12558,మరికాసేపట్లో,3
7815,nuclear,3
7631,nfldraft,3
3661,easemytrip,3
7639,ngo,3
348,administration,3
10485,thursday,3
7985,opposition,3
3229,delhicapitals,3
10663,travellers,3
3137,datatheft,3
4397,ganeshchaturthi2021,3
12211,तमकुही,3
4394,gandhinagar,3
9850,srilanka,3
8148,partner,3
12228,नरेंद्र_मोदी_ग्लोबल_पप्पू,3
600,ani,3
597,angle,3
10641,transformingindia,3
11792,wockhardt,3
12232,नहीं_चाहिए_भाजपा,3
580,andhra,3
3181,ddos,3
4346,funnymemes,3
8136,parispeaceforum,3
10621,toyota,3
562,amul,3
3202,deepikapadukone,3
10608,topnews,3
3209,defeatcovid19,3
12262,बंदर_के_हाथ_उस्तरा,3
7105,modishahgayabhai,3
4317,fuel,3
9887,startupnews,3
7107,modispeech,3
9892,statecapture,3
9894,stategovernment,3
12205,टीका_उत्सव,3
7006,mistakes,3
9836,sputnikvaccine,3
10697,trichy,3
3040,cyclonealert,3
4487,ghee,3
3042,cyclonetauktae,3
10719,trump,3
10717,truestory,3
8250,petrol,3
4477,getwellsoonpm,3
9798,soutienauxgeneraux,3
8247,personaldata,3
4473,getvaxxed,3
3058,daechwitahits100m,3
3059,dahisar,3
8246,personal,3
4451,getregistered,3
12197,जितिन_प्रसाद,3
4449,getjabbed,3
4442,germany,3
3087,dakshinakannada,3
3093,dalmaikala,3
8204,payrevisionfrom2017,3
4419,gcc,3
3108,darkleakmarket,3
6973,ministryofelectronicsandinformationtechnology,3
6982,mirabhayander,3
4411,gaumutra,3
6986,miraroad,3
3119,databreaches,3
10667,travelsafe,3
10591,tomarmodikisanvirodhi,3
7132,momentmarketing,3
7318,mygovmythbusters,3
12282,भाजपा,3
423,ahmednagar,3
8038,oxfordastrazeneca,3
420,ahmedabadvaccination,3
9938,staystrongsiddiquejan,3
12352,लखनऊ,3
12354,लड़ेंगे_जीतेंगे,3
7255,mumbaiindians,3
9947,sthaapna,3
8025,outofstock,3
3333,dhoni,3
7262,mumbainews,3
4201,fooddelivery,3
3340,dhule,3
9969,stophindiimposition,3
3348,didi,3
7272,mumbaiweather,3
10515,timetravel,3
10514,timesofindia,3
3355,dig,3
386,age,3
7285,mustard,3
4171,flashsale,3
8009,otpgenerationfailed,3
4164,fiverr,3
4159,fitness,3
7301,mybmcupdates,3
4155,firstshot,3
4154,firstlady,3
10491,tibet,3
10540,tnbjym,3
3310,developers,3
7232,mubarak,3
10574,togetherstronger,3
3237,delhigovt,3
7147,money9edit,3
3241,delhimeerutexpressway,3
3243,delhineedsoxygen,3
7150,moneytwitter,3
12292,भाषा,3
9902,statistics,3
9904,status,3
3250,delhiuniversity,3
8088,pan,3
8087,pampady,3
489,alkoluemedokunma,3
4287,friday,3
478,alexellis,3
9933,staysafestayhome,3
476,alexa,3
7193,mountains,3
7202,mpborders,3
12326,मोदीजन्मदिन,3
8058,oxygensupply,3
10554,tnlockdown,3
7223,msdhoni,3
3297,destinationsexplore,3
440,airadilabad,3
4250,freebritney,3
7226,msme,3
437,aims,3
8043,oxygenbeds,3
7058,modifailedindia,3
12007,zydus,3
11627,we,3
1376,blocked,3
9423,sdks,3
1770,chandigarhmunicipalresults,3
2136,copied,3
9154,rs500banned,3
9428,seafarers,3
1571,bunny,3
11471,vijayawada,3
2143,coroanvaccine,3
5037,hindu,3
2140,corna,3
8955,register_now,3
2142,cornavirusdisease,3
8795,raipur,3
8739,quetta,3
2094,congresscovidsevak,3
6130,killcorona,3
1982,cocacola,3
2439,covid_vaccination,3
11141,vaccinationslot,3
1470,borivali,3
5356,indiagetsvaccine,3
11296,vaccinepolicy,3
1725,centralgoverement,3
11064,vaccinationbangalore,3
5061,home,3
5064,homedelivery,3
11530,vizhuthugalnews,3
1815,chennaicovid,3
5475,indiavaccinated,3
5719,itwplayworx,3
1814,chennaicorporation,3
9331,satara,3
2093,congressbetrayedindia,3
11068,vaccinationcamp,3
9142,roundtablediscussion,3
11050,vaccinaties,3
1358,blackmarketing,3
6169,kolhapur,3
5026,himantabiswasarma,3
9444,secondphasevaccination,3
2253,coronavorusvaccine,3
11212,vaccineday,3
1714,cdc,3
2471,covidemergency2021fight,3
2250,coronavirusvaccineinindia,3
5937,justicefor12thstudents,3
8837,rambharose,3
2041,commercenewsguruji,3
1838,chiefminister,3
5759,jaiho,3
2159,coronacrisis,3
11540,vodafone,3
2157,coronacasesinindia,3
2255,coronavírus,3
2156,coronacases,3
9352,saubhagya,3
11722,whatrathisis,3
5496,indiawillwin,3
1968,cmorajasthan,3
1475,bots,3
5763,jaimaharashtranews,3
11108,vaccinationforindia,3
2458,covidcharcha,3
1666,cardano,3
11535,vmcvadodara,3
1670,care,3
6062,keeptrying,3
5670,ishara,3
5724,iwd2021,3
5461,indiastack,3
1410,bnb,3
9397,scamalert,3
5778,jaljeevanmission,3
2013,college,3
6105,khansir,3
5692,istandwithmodi,3
5331,indiacovid19,3
5712,itr,3
9164,rti,3
1407,bmwinfinitycars,3
11509,vishwakarmapuja,3
9163,rtept,3
11300,vaccineprice,3
5187,icmrfightscovid19,3
2400,covid19vaccinationdrive,3
11310,vaccineregistrationa,3
5453,indiarejectslicipo,3
5960,kagaznagar,3
5788,jamnagar,3
5177,icct20worldcup,3
5966,kalyan,3
6091,keralatourism,3
8787,rail,3
5342,indiafightcovid,3
11689,wellness,3
8972,registrationcovid,3
1701,cbse,3
11306,vaccineregisteration,3
1699,cbi,3
5088,hospitalbeds,3
11679,welcome2022,3
5464,indiastandswithisrael,3
5713,itrules,3
1810,chengalpattu,3
2425,covid2ndwave,3
11322,vaccinesafetyadvocate,3
11506,visakhapatnam,3
5682,isra_india,3
5973,kamalnath,3
2378,covid19qld,3
2127,cookwithcomali2,3
11099,vaccinationfirst,3
5797,janasangh,3
5352,indiafightscovid19together,3
9031,reporterdiary,3
5675,islam,3
9033,repost,3
11529,vizhuthugalmedia,3
6065,kejriwal_exposed,3
5686,isro,3
5069,homeopathy,3
5687,issue,3
1395,bluetick,3
2124,coochbehar,3
1396,bluetooth,3
1796,cheat,3
2002,coivd,3
6111,kharghar,3
5688,issues,3
1568,bumble,3
5775,jalandhar,3
1448,bookmyshow,3
2269,correction,3
2271,corrections,3
2029,coloss,3
11079,vaccinationcertificates,3
6183,komrambheem,3
5213,iecsgnr,3
5637,investment,3
11766,windows,3
9291,sangli,3
2516,covidmemes,3
11618,waterproof,3
11395,valimaifirstlookonjuly,3
5895,jokes,3
9074,retweeetplease,3
1631,cancelboardexams2021,3
8904,realestate,3
5866,jitinprasad,3
6021,karnatakagovernment,3
1751,cghs,3
9465,seetimaarr,3
11364,vaccineupdates,3
5535,infinitycars,3
5854,jharkhandnews,3
8993,reliance,3
1281,biologicale,3
8932,redfm,3
8812,rajkot,3
5604,internationalflights,3
2223,coronavacine,3
11180,vaccineavailability,3
11027,vaccinated_today,3
5850,jhansi,3
9272,samepayforsamework,3
1752,cgnews,3
11617,water,3
8898,reading,3
8933,redfmbengaluru,3
1599,caa,3
1278,binance,3
5594,integrated,3
2190,coronasafety,3
1630,cancelboardexams,3
2203,coronavaccinatie,3
8910,realmadridchelsea,3
1728,centralvista,3
2542,covidsafety,3
9219,safeindia,3
9098,rihanna,3
8631,provisional,3
5873,job,3
2197,coronaupdates,3
1252,bigstory,3
5149,hyderabadvaccine,3
5740,jabwemet,3
5265,immunityboost,3
5560,inhindi,3
9479,seniorcitizen,3
5872,jmdnewsflash,3
6289,languages,3
9222,safemoonarmy,3
5871,jkvsp7,3
5261,immunisation,3
5386,indianarrative,3
4979,helpdesk,3
2078,conclave,3
1895,cii4health,3
6278,lalisa,3
5393,indianeconomyrebounds,3
11486,viral48,3
5587,instagramban,3
9362,saveindia,3
2337,covid19at,3
8785,raidforums,3
1285,biotechindia,3
9231,safetyisonestepaway,3
5728,izone,3
1593,buzztalk,3
8677,punecity,3
11175,vaccineapp,3
1317,bjpfails,3
5912,judycowen,3
11345,vaccineslotfinder,3
8689,punevaccine,3
1535,bsyediyurappa,3
11287,vaccinenationisthesolution,3
9270,sambalpur,3
9267,samayamtamil,3
1536,btc,3
6205,kozhikode,3
8887,rcbvrr,3
6046,kaunbanegacrorepati,3
8704,putin,3
11652,websitedown,3
9057,resignpmmodi,3
5631,intvmedia,3
11420,vaxxed,3
8884,rbi,3
5924,june,3
6200,kottayam,3
1760,challenge,3
9268,samba,3
2343,covid19certificate,3
6238,kumbhmela,3
9123,rnsinstituteoftechnology,3
9136,rojgaryojana,3
1337,bjpresponsibleforcoronainindia,3
5401,indianeedsvaccine,3
2505,covidiot,3
5611,internationaltravelers,3
2176,coronamemes,3
8666,puducherry,3
11758,whyimsingle,3
5730,jaanojunction,3
9132,rohitsardana,3
2304,covapunjab,3
5632,inurdu,3
9460,securitycode,3
5410,indianexpress,3
6247,kutch,3
8836,ramaphosa,3
11404,vande_mataram,3
1863,chinavirus,3
1755,cgtika,3
5729,jaanhaitojahaanhai,3
4124,financialservices,2
9987,strange,2
10017,subarnarekha,2
7335,mypositivedrive,2
7336,mypressnews,2
10024,successfully,2
5347,indiafightscorona19,2
9984,storytelling,2
8992,releasenarsinghanandji,2
7977,opensourcesoftware,2
4174,flawsincowin,2
7342,mysepik,2
8990,relatable,2
8010,otpissue,2
8989,relainstitute,2
5371,indiakeliye,2
9992,streamers,2
7302,mybmcvaccination,2
9227,safetravels,2
10011,studentvaccination,2
10009,studentslivesmatters,2
7338,mysecretlondon,2
8995,reliancehospital,2
8002,oscars,2
5353,indiafightsforcoronavirus,2
7315,mygovin,2
7348,myth,2
5370,indiakabattlegrounds,2
10016,styleupnow,2
9229,safetyandhealth,2
7330,myntra,2
8975,registrationfor18,2
7351,mythbusters,2
10013,studyabroad,2
9225,safestmetro,2
7982,oppof19proseries,2
7297,myanmar,2
5360,indiagovt,2
8000,orissahighcourt,2
4965,heath,2
7289,muzaffarpur,2
8093,pancard,2
4292,fridaynightfunkin,2
5283,imrankhancancelexam,2
5285,imskahmed,2
8082,palestinewin,2
8080,palestinebleeding,2
8076,pakvsnz,2
5847,jerusalem,2
9269,sambad,2
9906,stau,2
4284,frenchies,2
8075,pakvnz,2
4283,frenchiebulldog,2
7187,motivate,2
4282,frenchie,2
5290,inclusion,2
4279,freevaccionationforall,2
5846,jeethujoseph,2
7194,mouse,2
7196,movie,2
8066,paidvaccine,2
5843,jee,2
9912,stayaware,2
8936,redmi,2
8938,redminote10series,2
7207,mpfightcorona,2
8091,panama,2
7159,mookie,2
8015,otpnotcoming,2
9903,statueofunity,2
7104,modisarkartovaccinateall,2
4320,fuelpricehike,2
8914,reasontosmile,2
7106,modisoldvaccine,2
5875,jobs,2
7114,modivaccinedo,2
7118,mofh,2
4311,frustrating,2
7120,moh,2
8116,pappu,2
5870,jklive,2
4306,fruad,2
5273,imp,2
8115,paperback,2
9898,stateoftheart,2
8111,panindiarollout,2
8922,recovery,2
7133,moments,2
7141,mondaymotivaton,2
9900,stateuts,2
8104,pandemicreliefproject,2
7148,money9news,2
5864,jitenprasad,2
8925,red,2
8098,panchmahalpolice,2
4267,freeshipping,2
8940,redvelvet,2
7210,mpjantacurfew,2
5296,incommunity,2
9958,stockmarkets,2
5325,indiabouncesback,2
9960,stockstobuy,2
8962,registerforvaccination,2
4203,foodforthought,2
9248,saipallavi,2
9247,sainikviharmandal,2
4198,followusoninstagram,2
4197,followus,2
7267,mumbaitimesnews,2
4190,fml,2
4189,fmcc,2
7268,mumbaiupdate,2
9242,saiclinic,2
5792,jan,2
8022,oureldersdeservebetter,2
8969,registeryourself,2
5340,indiafightback,2
9976,stopvaccinationhesitancy,2
5785,jammudroneattack,2
9979,stories,2
9980,storm,2
7284,muslimsaviours,2
9982,storyofaadiganesha,2
5344,indiafightsaganistcorona,2
5324,indiabeatscovid19,2
4217,foolish,2
4219,fordanmark,2
7231,mtvacashore,2
4260,freemarket,2
8942,reelkarofeelkaro,2
5833,jbmuturiturns65,2
9924,stayinformedstaysafe,2
5831,jaygarvigujarat,2
5824,jasminbhasin,2
9260,samachar,2
7225,msje,2
5821,jaslok,2
5816,january2022,2
5309,independenceday,2
7233,mucizedoktor,2
4220,foreign,2
5311,india247livetv,2
5312,india_with_modi,2
9254,sale,2
9253,sakalnews,2
8034,owaisi,2
8029,overear,2
5806,jansamparkmp,2
5317,indiaagainstcovid19,2
7259,mumbailocaltrain,2
9951,sting,2
4221,foreignaffairsindia,2
5804,janhitmeinjaari,2
4041,fastfornation,2
9220,safejourneyonmetro,2
9125,roasted,2
7825,nursesday,2
3871,everyone,2
7606,newstalk,2
10188,tamilnadulock,2
10189,tamilnadulockdown,2
3858,eurocup,2
10191,tamilnews,2
7611,newsvhdm,2
7822,numberwale,2
7616,newupdates,2
7618,newwork,2
7635,nftcommunity,2
5628,into1,2
9063,responsibility,2
7599,newsonair,2
7640,ngos,2
9064,responsiblecitizen,2
9066,restorethesnyderverse,2
10200,tanlaplatforms,2
7803,nri,2
3842,ethics,2
10202,tareyasujan,2
3838,ethereum,2
5520,indunited,2
10205,tata,2
7654,niftybank,2
7791,now,2
10208,tatamotors,2
9051,resign_pm_मोदी,2
7596,newsnationtv,2
7537,netflix,2
5494,indiavstwitter,2
10154,tajikistan,2
10156,takecare,2
5659,iraq,2
9043,researcher,2
9153,rrkabel,2
5650,iplcancel,2
5649,iplauction,2
7553,newpolicy,2
5648,ipl2022,2
3900,expertkisuno,2
3899,experience,2
5643,iphone,2
5491,indiavaxvijaypath,2
5495,indiawantscrypto,2
9137,rollout,2
3892,exercise,2
3888,exclusiveinterview,2
5641,ios15,2
7566,newsaayog,2
7850,odia,2
5497,indiawin,2
10176,tamilincowin,2
10177,tamillan,2
7846,ocen,2
7577,newsfirstlive,2
10180,tamilmintnews,2
9140,roorkee,2
3876,evm,2
5521,indunitedngo,2
7790,novoteto_evilmodi,2
7788,novel,2
3780,engineersday,2
5588,instagramdown,2
3788,ennasollapogirai,2
3787,enjoyresponsibly,2
10232,teachersofinstagram,2
5547,informationavailable,2
9106,rishikapoor,2
9083,rgnau,2
7748,nostock,2
9103,rippedjeanstwitter,2
3784,english,2
7730,normal,2
10234,teambcjd,2
9101,riots,2
9084,rha,2
10214,tauktae,2
3778,engineering,2
10236,teammodi,2
3775,enemiesofhumanity,2
3773,endsars,2
7741,noslot,2
10239,teampoll,2
7735,northeast,2
10240,teamsp,2
5580,inspiration,2
3762,employees,2
5566,inmobiles,2
10249,techgalena,2
10252,techindpolitics,2
5545,infoedge,2
3792,enterprises,2
9078,review,2
5539,influencers,2
3822,eservices,2
5526,indvseng,2
7673,nitishsarkar,2
7784,novaccinepassportsanywhere,2
9119,rmache,2
7783,novaccinenovote,2
3817,erroneous,2
9070,retail,2
9118,rjyfightscovid19,2
10215,tauktaecyclone,2
5532,infection,2
7684,no,2
5605,internationallawcommission,2
5533,infectiousdisease,2
3812,equipment,2
9117,rjyfightscorona,2
7687,no2rumours,2
5603,internationaldayofyoga,2
7693,noappointments,2
3805,epass,2
7703,nodataleak,2
10224,tbthursday,2
7704,nodejs,2
3798,entrepreneurs,2
7705,nodigitalindia,2
9115,rjaditya,2
7707,nofreevaccine,2
7542,neverforget,2
3914,extension,2
10032,suggestion,2
4324,fullmoon,2
7408,narendramodistadium,2
5723,iwantvaccine,2
10062,superb,2
5427,indiannurses,2
5722,ivyasa,2
7941,onkargandhe,2
4056,feature,2
10064,superheroday,2
7415,nashamuktbharatabhiyaan,2
10067,supermoon,2
7419,nasik,2
4044,fauci,2
4042,fasttag,2
4037,fastestfingers,2
9192,russian,2
5717,itvertical,2
7431,nationaldigitalhealth,2
4035,fastestfinger,2
7930,oneofmyhusband,2
4033,fastest_app,2
7438,nationalhealthautority,2
7928,onenationoneprice,2
9010,remitinubu,2
7440,nationalhealthmission,2
5709,itlivestream,2
10080,supportgaza,2
10081,supporting,2
9184,ruralempowerment,2
10061,super,2
10052,sundeepkochar,2
10152,taimur,2
7376,nalanda,2
4109,fighton,2
8998,religion,2
5385,indianarmypeoplesarmy,2
7366,nagpurmetro,2
4106,fightcovid2gether,2
9211,sachinunacademyfilm,2
5392,indiandoctors,2
4102,fightcoronavirus,2
7966,onthedotnews,2
7965,onthedotezine,2
4098,fightback,2
5733,jabalpur,2
7964,onthedot,2
7377,namakkal,2
7406,narendramodiji,2
10041,sundarpichai,2
7379,nammabengaluru,2
7952,onlinefraud,2
7948,onlineclass,2
10044,sundayfunday,2
5403,indianeedvaccine,2
10046,sundaymorning,2
7402,narendramodi71bday,2
9009,reminder,2
10048,sundaysessions,2
5725,iwilltakethevaccine,2
5419,indianmedicaladministrativestaff,2
5422,indianmedicalstaff,2
10085,supportsmallstreamers,2
5707,itguys,2
5703,itcard,2
3937,factcheckers,2
3962,fake_vaccination,2
7497,ndpolls,2
7501,ndtvindia,2
10127,swapnilshukla,2
10128,swarabhasker,2
10133,sweden,2
7510,needhelp,2
3949,failedsystem,2
7516,neet2021,2
10136,switzerland,2
10138,symptoms,2
7518,neetug2021,2
3941,factvsfiction,2
5673,ishqmeinmarjawan2,2
4016,farmers,2
7521,negvac,2
3935,fact,2
5474,indiaunitedagainstcovid,2
10145,t1d,2
7526,nellore,2
10147,t2d,2
7872,office,2
9035,republicday,2
5668,irtc,2
9040,rescueops,2
3920,faceauth,2
3919,fabiflu,2
3917,f1,2
5689,istandwithanshulsaxena,2
5690,istandwithindia,2
10123,swadeshexclusive,2
5465,indiastandwithisrael,2
9178,run,2
7926,onemoredayinvain,2
7450,nationalunemploymentday,2
7921,onehealthhospital,2
7454,nationalyouthday,2
7457,nationstandswithnamo,2
10092,suranahospital,2
7458,nationwide,2
4007,farendaha,2
5701,italians,2
7917,onecroretreeplantation,2
9019,removethepm,2
9022,renjun,2
10096,surendranagar,2
7915,onebillionvaccinated,2
10097,sureshchavhanke,2
10100,surreal,2
3987,fakevaccinationdrive,2
3986,fakevaccination,2
7470,navgujaratsamay,2
5456,indiascriptshistory,2
3973,fakecowin,2
7905,omnicronvariant,2
10119,svgryb,2
10121,swacchbharat,2
10122,swachhbharat,2
7489,nccudaan,2
4323,fulllockdown,2
4387,gameofthrones,2
5887,johnsonandjohnson,2
6615,maharashtrapolice,2
6121,khetia,2
8437,political,2
6601,maharashta,2
9596,shortages,2
8435,poliofree,2
8434,polio,2
5068,homeoffice,2
9600,shots,2
6606,maharashtraday,2
4775,hai,2
6116,khelahobe,2
6115,khayanmotors,2
8430,policenama,2
8762,racist,2
8427,police,2
4794,hanumanjayanti2021,2
4767,hackathon,2
6619,maharashtravaccination,2
6621,maharastra,2
9414,scientists,2
4761,gwalior,2
8423,pokiri,2
6627,mahavasooliaghadi,2
9614,shyamsingharoy,2
6109,khansirpatna,2
8420,poetry,2
6636,maintainsocialdistancing,2
5074,hopeithelps,2
4748,gulmoharmaitri,2
9411,science,2
4789,hanker,2
8443,politicslive,2
4740,gujaratnagarpalika,2
6136,kindness,2
9562,shayari,2
9563,shehnaazgill,2
4833,harassment,2
6554,lucknowjagran,2
6153,kmc,2
6556,ludhiana,2
6557,ludo,2
8463,populationcontrollaw,2
6566,maalaimalar,2
6148,kishtwar,2
8458,poormanangement,2
8457,poormanagement,2
6569,machine,2
6138,kingkoilindia,2
6570,machinelearning,2
8445,polloftheday,2
4806,happybirthdaygalgadot,2
6571,mad,2
5048,hisar,2
6134,kind,2
4802,happybirthday,2
5058,holi,2
5059,holi2021,2
6579,madhyapardesh,2
6581,madovermarketing,2
5060,holyspirit,2
8446,polstratupdate,2
9415,sco,2
6590,magplanet,2
6128,kidsvaccination,2
9410,scicomm,2
4739,gujaratmail,2
6547,lpgpricehike,2
4675,great,2
6694,manipulation,2
6695,manipur,2
9651,siram,2
9652,sirhnreliance,2
8375,pmcfightscorona,2
9657,site,2
6701,mankibaat,2
9662,siwaysrk,2
6705,mannkibaatchodooxygendo,2
6707,manoharlalkhattar,2
6073,kendrapara,2
6068,kejriwalexposedonvaccine,2
9668,skills,2
4678,greatestguru_intheworld,2
4674,gratitude,2
8786,raigad,2
4671,graphics,2
9393,scale,2
9676,sleepbetterwithkingkoil,2
4664,grabajab,2
8360,plnews,2
5105,howrah,2
5106,howto,2
8356,pleasehelp,2
6059,keepindiasafe,2
9678,slippers,2
9388,sbicard,2
8351,playstationnetwork,2
4659,govtsmustresign,2
8350,playstation5,2
8379,pmdoesnotcare,2
9402,schedule2nddose,2
5077,hopsitals,2
6673,managecovid,2
8413,pocketnews,2
4734,gujarati,2
6108,khansirmemes,2
6107,khansirgsresearchcentre,2
9409,schools,2
6106,khansirfunnyvideo,2
4731,gujaratday,2
6654,malad,2
6656,malaimurasu,2
5080,horoscope,2
8398,pmo_india,2
6662,malicious,2
6665,malware,2
6671,mami,2
6103,khandala,2
9647,singleday,2
8389,pmmodibirthday,2
4723,guide,2
6679,mandatory,2
4722,guidance,2
8773,radhikahospital,2
5087,hospitalbed,2
9637,siliguri,2
9640,simple,2
6086,keralamen,2
6080,keralagovernment,2
4708,gstn,2
8783,rahulvaidya,2
9643,singapore,2
6684,mangalpandey,2
6550,ltvsdh,2
4839,harrypotter,2
9387,sbi,2
6381,lfc,2
4930,healthpass,2
4929,healthofindia,2
6363,letsbeatcorona,2
6366,letsfightcorona,2
9509,setuapi,2
4989,helpmehere,2
6368,letsfightcovid,2
9511,seva4all,2
6371,letsgetvacccinated,2
8587,priyankachopra,2
6375,letstalkvaccination,2
6377,letsuppbhojpuri,2
6268,laesperanzatravels,2
9513,sevabharathi,2
4918,healthministerindia,2
9504,services,2
6382,lgbt,2
9514,sevahisangathan,2
8581,privatehospital,2
6387,liberalismisamentaldisorder,2
6390,lic,2
8578,privacypolicy,2
6397,lifehacks,2
6398,lifeinsurance,2
4994,hemabudaraju,2
8573,prisoner,2
6401,lifelessons,2
8571,priority,2
9523,shadowandbone,2
8566,primeministernarendramodi,2
4988,helpmecovid,2
8598,production,2
6410,lift,2
9477,senior,2
9485,seorahi,2
8626,proudmoment,2
6317,latest,2
9486,september11,2
6305,largestvaccine,2
8617,protest_against_hate,2
6324,latestnewsinhindi,2
4958,heartbypass,2
6300,largestvacciendrive,2
8616,protest,2
6292,lareinadelflow2,2
6329,latestupdates,2
8637,psgmci,2
6331,latinamerica,2
6333,laughteristhebestmedicine,2
6271,lahaulspiti,2
4945,healthyeating,2
6334,launch,2
8611,prosperingkashmir,2
6337,law,2
6339,lbnagar,2
6342,leadersofglobalbharat,2
8643,ptigovernment,2
6347,leaked,2
4983,helpinghands,2
8604,programs,2
4984,helpingothers,2
8648,pubgmobile,2
9469,selfawareness,2
6357,legalbitesacademy,2
8653,publiccurfew,2
8658,publiclokpal,2
4841,harshatoyota,2
9547,share,2
5020,highs,2
6186,konkona,2
6496,logistics,2
9545,shankar,2
8503,pragyasinghthakur,2
6498,logo,2
4861,hayathnagar,2
8502,pragnews,2
6502,lohaghat,2
8496,pradhansevak,2
8494,pradeepmaurya,2
6182,komarambheemntr,2
8487,postponeneetug2021tilloctober,2
6525,lottery,2
5024,himalayan,2
6487,lockdownmaharashtra,2
8718,qr,2
9550,sharemarketindia,2
4856,hathras_again,2
8719,qrcode,2
4855,hathras,2
9552,sharemarketnews,2
6154,know,2
8479,postcovidrecovery,2
9557,shareyourvaccinationstatus,2
8478,postcovidcare,2
6538,lovejihaad,2
9442,secondphase,2
8472,positivenews,2
9441,secondjab,2
6189,koo,2
6486,lockdownlife,2
6414,light,2
6444,livestream,2
8661,publicvibe,2
8665,pudharionline,2
9461,securitycouncil,2
8554,preventionisbetterthancure,2
8553,prevention,2
8552,prestonetynsong,2
6241,kunalsingh_bjp,2
6431,lisa,2
6239,kumbhmela2021,2
4890,healthcareforall,2
6434,littleindiaapp,2
5004,hero,2
8548,presidentkovind,2
6236,kumbh,2
5007,hesitancy,2
6196,kota,2
6457,loadtest,2
6222,ktr,2
4878,headlines,2
6461,local,2
6463,localisation,2
8690,punintended,2
6214,krishnagiri,2
6467,localtrainpass,2
4874,hdfcbank,2
8517,prayagraj,2
8516,pray,2
8513,pravanews,2
6483,lockdownindia,2
8512,prathimahospitals,2
8349,playstation,2
4653,govtech,2
8125,parashealthcare,2
8202,payment,2
6933,micromax,2
8224,peanut,2
4435,genius,2
4434,generateotpfailed,2
5938,justiceforasif,2
9818,spode,2
4430,generalinsurance,2
6950,milestone,2
4428,genderequality,2
6956,million,2
4425,gdpr,2
8207,paytmapp,2
9824,sppu,2
5204,identitytheft,2
8199,pawankalyan,2
5198,ideas,2
9825,spreadawareness,2
4417,gaza,2
9326,sarscov2,2
9826,spreadlove,2
9325,sarojininaidu,2
9829,sputinik,2
8184,pathanamthitta,2
9316,sarjancreations,2
5933,justicechandrachud,2
5931,justforfun,2
6991,mirzapur,2
8178,patanjali,2
4409,gatsbyindia,2
6997,mission28states,2
5201,identity,2
9812,spicemoney,2
8885,rc15,2
6917,mgmhospital,2
4480,getyourshot,2
8249,peru,2
4478,getyourjab,2
8873,ration,2
4474,getwellsoon,2
5192,icubeds,2
5944,justicefornidhipaswan,2
4472,getvax,2
5941,justiceforjohnnydepp,2
8244,performancetesting,2
6903,message,2
8239,peoplesvaccine,2
8235,peopleofindia,2
6916,mgm,2
6919,mh,2
4445,getajab,2
8228,pegasus,2
6921,mha,2
6922,mhealthy,2
6923,mhfw,2
6925,mhrd,2
4459,getvaccianted,2
6926,mi,2
4455,getthejab,2
4454,getthefacts,2
4453,getshotgo,2
5195,idcard,2
6928,miami,2
5196,idd,2
5197,idea,2
9832,sputniknews,2
7003,misslead,2
8872,rathyatra2021,2
5893,jokeoftheday,2
4365,g4nation,2
7067,modihaintomumkinhain,2
4363,g20summit,2
7071,modihetomumkinhe,2
4358,fz,2
4357,fyi,2
5253,ima,2
9289,sangbadpratidin,2
7078,modiji_cancel12thboards,2
4353,futurenow,2
4350,funtrafoo,2
9871,standtogether,2
5256,imgxnct,2
8906,reality,2
5260,immunewithemvolio,2
9297,sanitizedcars,2
4344,funnydogs,2
8134,parineetichopra,2
4342,funniesttweets,2
4340,fungus,2
4339,funfact,2
4335,fundamentals,2
8130,parentalalienationawarenessday2021,2
4332,fullyvacinnated,2
8129,parentalalienationawarenessday,2
5266,immunitybooster,2
5267,immunityboostertips,2
8128,parentalalienation,2
4327,fullstack,2
9881,startkarkedekho,2
9296,sanitize,2
9860,sscresult2021,2
7004,missuniverse,2
4388,gameon,2
5226,igotmyshot,2
7011,mlavinodmoradiya,2
5919,jumladiwas,2
5231,iiitdstudentsrock,2
9841,srcchospital,2
8170,passportready,2
7019,mobileappdevelopment,2
5908,jpnadda,2
7020,mobileappdiary,2
4393,gandhijayanti,2
5906,joy,2
4391,gandhi,2
4389,games,2
7023,mobileapptechnology,2
6306,largestvaccinedriv,2
5244,ikizderedireniyor,2
7024,mobileappworld,2
7025,mobilechew,2
9847,srhvsdc,2
7041,modi_must_resign_challenge,2
4382,gamble,2
9849,srikanth,2
8150,partytime,2
9303,sanjsamachar,2
5901,journalism,2
8146,part,2
5241,iitf2021,2
4372,gadchiroli,2
5899,joshfight,2
4368,gaatit,2
4481,getyourshots,2
6890,mentalhealthawareness,2
6738,market,2
8315,pinkmoon,2
8809,rajinikanth,2
5130,humhongekamyab,2
5135,humor,2
4596,goodvibes,2
4594,goodmorningtwitterworld,2
9372,saverauflife,2
